store_id,food_name,food_image_url,price,recommend_reason
1, '된장찌개', '001.DDukbae/DDukbae_F.png', 7000, '비빔밥과의 조합이 좋다, 이 근래 가성비 갑'
1, '우렁된장', '001.DDukbae/DDukbae_urung_F.png', 8000, '된장 맛있는데 재밌는 식감을 원하시면 우렁 된장 좋습니다.'
2, '보쌈정식', '002.Jack/Jackbosam_F.png', 9000, '보쌈을 점심에 먹기 가능한 곳, 반찬 정갈하게 잘 나옴.'
2, '제육정식', '002.Jack/Jackjeyuk_F.png', 8000, '제육에 불향나고, 양도 은근히 많음, 반찬 정갈하게 잘 나옴.'
3, '고추장불백(+후라이추가)', '003.bulbaek/bulbaek_F.png', 6000, '가성비, 이 집 메뉴중 이게 제일 괜찮아요'
4, '고추불고기 백반', '004.hwangso/hwangso_F.jpg', 8000, '고기 불향 제대로, 고기 맛있어요.'
5, '우육면', '005.jinjung_wu6/jinjung_wu6_F.jpg', 12000, '그냥 정말 맛있어요, 든든합니다.'
6, '등심카츠', '006.aldon/aldon_Deungsim_F.png', 14000, '맛있어요. 종각 일식 등심돈까스 여기 1위'
6, '안심카츠', '006.aldon/aldon_ansim_F.png', 15000, '맛있어요. 종각 일식 안심돈까스 여기 1위'
6, '치즈카츠', '006.aldon/aldon_cheese_F.png', 15000, '맛있어요. 종각 일식 치즈돈까스 아마? 여기 1위'
7, '순대국', '007.sunsillok/sunsillok_sundae_F.png', 11000, '국물이 깔끔하고 순대가 맛있음 타 순대국 프랜차이즈랑 비교시 여기 순대국 탑티어임'
7, '떡만두국', '007.sunsillok/sunsillok_mandu_F.png', 10000, '만두러버들은 여기서 떡만두국 드세요.'
8, '얼큰 알곤이 칼국수', '008.sonjung/sonjung_algon_F.png', 11000, '알 좋아하고 매운 거 좋아하는 사람 딱입니다.'
8, '한우사골칼국수', '008.sonjung/sonjung_sagol_F.png', 10000, '깔끔한 고기 칼국수 들어가시는 분 여기 괜찮습니다.'
9, '다담정식', '009.dadam/dadam_F.png', 10000, '찌개나 국이 나오고, 고기, 생선, 계란말이가 반찬으로 나옴. 맛도 있음'
10, '간장제육', '010.suncheon/suncheon_ganjang_F.png', 10000, '간 적절하고 양도 준수합니다. 일단 이 가게는 반찬이 10가지는 나옴(상추 많이 줌)'
10, '김치돼지찌개', '010.suncheon/suncheon_kimchi_F.png', 10000, '김치찌개 돼지 통으로 넣고 가위로 잘라서 넣는 느낌 아시죠? + 일단 이 가게는 반찬이 10가지는 나옴(상추 많이 줌)'
11, '양평해장국', '011.illpoom_j3/illpoom_j3_F.png', 10000, '해장이 필요, 선지 좋아하신다면 여기 선지 상태 및 간이 진짜 좋음.'
12, '간짜장 곱빼기','012.donghaeru/donghaeru_F(1).jpg', 9000, '원래 생각하는 간짜장보다 덜 자극적임, 근데 먹다보면 맛있음. 왜 슴슴하게 만들었는지 설득이된다? 소스랑 면이 잘 비벼집니다.'
13, '마제소바', '013.baeksojung/baeksojung_maje__F.png', 10900, '백소정은 마제소바 맛있기로 유명함'
13, '모짜렐라 치즈카츠', '013.baeksojung/baeksojung_cheese_F.png', 13500, '여기 치즈카츠 만족스러움 가까운 돈까스집은 여기'
14, '돼지국밥', '014.hapcheon/hapcheon_pork_F.png', 8000, '깍두기랑, 김치가 맛있고 순대 간이 기본찬으로 나옴'
14, '순대국밥', '014.hapcheon/hapcheon_sundae_F.png', 8000, '깍두기랑, 김치 맛있음, 여기 재료가 신선함'
15, '회덮밥', '015.chamchigong/chamchigong_hoidub_F.png', 12000, '회덮밥을 넓고 쾌적한 공간에서 먹고 싶으면 여기 양이 괜찮아요.'
15, '알밥', '015.chamchigong/chamchigong_albab_F.png', 12000, '알밥을 넓고 쾌적한 공간에서 먹고 싶으면 여기 양이 괜찮아요.'
16, '볶음밥', '016.geo_gu/geo_gu_bab_F.png', 9000, '볶음밥에 후라이를 올려주고 맛있음, 깍두기 반찬 있어서 조합이 좋아요.'
16, '짜장면', '016.geo_gu/geo_gu_jjajang.png', 8000, '여기 짜장소스 괜찮습니다. 고추가루 뿌리고 깍두기 얹어 먹으면 꿀맛입니다.'
17, '양선지해장국', '017.chungjinok/chungjinok_F.png', 12000, '든든하게 먹을 수 있습니다. 깍두기 굿,맵찔이도 먹을 수 있는 맵지 않음 해장국.'
18, '버거리버거 세트', '018.burgery/burgery_F.png', 10900, '종각에서 무난 수제버거 픽으로 추천'
18, '더블클래식치즈버거세트', '018.burgery/burgery_doubleclassic_F.png', 12600, '버거리 맛도리 메뉴 수제,치즈 버거는 이거 추천'
19, '치즈 돈까스', '019.huni_doni/huni_doni_F.png', 15000, '치즈에 체다를 섞었다. 정말 고소하고 후니도니 최고의 메뉴'
19, '냉모밀 미니돈까스', '019.huni_doni/huni_doni_momil_F.png', 12000, '구성이 좋고 여름에 드시러 가는 걸 추천하고 면 무한리필~'
20, '된장정식', '020.thensul/thensul_F.png', 12000, '건강식, 슴슴함과 다이어트에 도움될 만한 음식'
21, '뷔페', '021.jong4po/021.jong4po_F.jpg', 7000, '학원 지하1층 솔데스크 학생이라고 하면 계좌이체, 현금-7000원 카드-8000원입니다.'
22, '돼지불백', '022.isaac_don/isaac_don_F.jpg',5900, '가격이 말이 안됩니다.'
22, '김치두루치기덮밥','022.isaac_don/issac_don_kimdudub_F.png',5900, '가격이 말이 안됩니다.'
23, '상하이 스파이시 치킨 버거 세트', '023.Mcdonald/Mcdonald_F.png', 6000, '맥날 런치세트 저렴한데 이 가격인지 잘 모르시는 것 같아서 ㅎㅎ'
24, '와퍼세트(어플 쿠폰)', '024.burgerking/burgerking.png', 7900, '맛있긴 함, 다먹으면 배부름.'
25, '버터갈릭파스타', '025.rollingpa/rollingpa_F.png', 6900, '가성비 일단 좋음, 빵도 나와서 구성 괜찮음.'
26, '또보겠지 떡볶이(+날치알볶음밥)', '026.DDobogetji/DDobogetji_F.png', 9000, '즉석떡볶이 좋아하시는 분들 여기서 드시면 좋아요 갠적으로 신당동보다 맛있고 날치알볶음밥 강추드림.'
27, '베이컨치즈버거', '027.daily_fix/daily_fix_F.png', 12900, '수제버거 맛으로는 1티어 재료들이 정말 신선해요'
27, '트러플 머슈룸버거', '027.daily_fix/daily_fix_truffle_F.png', 13900, '여기 트러플 머슈룸 버거 먹으면 버거킹 가는 거 고민됨(맛있어서)'
28, '누블라 잠봉 트러플 허니버터', '028.pazak/pazak_jambong_F.png', 10800, '달달한 거 좋아하시는 분들은 이것 드시고 여긴 빵이 진짜 맛있어요'
28, 'RTM(알티엠) 샌드위치', '028.pazak/pazak_RTM_F.png', 11800, '기본 충실한 맛 서브웨이 질리시면 여기와서 드시죠 빵이 진짜 맛있습니다. ~~'
29, '간장양념구이덮밥', '029.yeokjeonudong/yeokjeonudong_F.png', 8000, '역전우동 꿀 메뉴 간장베이스 제육 좋아하면 딱임 취향 맞으면 계속먹게 됨.'
30, '치킨베이컨아보카도 ', '030.subway/subway_F.jpg', 8500, '개꿀조합 추천 (빵은 위트, 슈레드치즈, 야채 다넣고 올리브 할라피뇨 많이, 바비큐 홀스래디쉬 소스)'
31, '점심죠스떡볶이 1인세트 ', '031.jaws_ddeok/jaws_ddeok_F.png', 8500, '혼자 분식 땡길 때 여기 밖에 없음'
32, '참치김밥(+계란 2개 라면)', '032.rabap/rabap_F.png', 10000, '배고플 때 라면에 김밥 배부르게 먹을 때 강추 여기 참치김밥 맛있어요'
33, '철판치즈김치볶음밥', '033.kimgane/kimgane_F.png', 10000, '이게 이 집에서 젤 맛있음.'
34, '칼국수', '034.insadongkal/insadongkal_Kal_F.jpg', 7500, '칼국수 국물 겁나 찐해요 김치가 정말 맛있습니다. 1티어'
34, '돌솥비빔밥', '034.insadongkal/insadongkal_dolsot_F.png', 7500, '돌솥 비빔밥 깔끔하고 반찬이 진짜 맛있어요'
34, '순두부찌개', '034.insadongkal/insadongkal_suntofu_F.png', 7500, '순두부 맛있어요 그리고 반찬이 진짜 맛있어요'
35, '싸이버거세트', '035.moms_touch/moms_touch_psy_F.png', 7700, '싸이버거 드세요 돌고돌아 싸이버거가 짱입니다.'
35, '싱글떡강정세트', '035.moms_touch/moms_touch_singset_F.png', 11600, '배부르게 먹을 때는 맵고 달달한 싱글 떡강정 세트 드셔보세요'
36, '공샤브 소고기 샤브샤브 세트', '036.gongshabu/gongshabu_F.png', 10900, '육수 4개중 하나 고를 수 있고 가성비 좋게 먹을 수 있음.'
37, '김치우동정식', '037.dongkyungam/dongkyungam_udong.png', 14000, '국물 육수를 잘 만드시는 듯 국물 맛이 깊고 좋습니다.'
37, '김치카츠나베', '037.dongkyungam/dongkyungam_kimchi_M.png', 15000, '여기 시그니처 메뉴 찐맛 나베는 이게 일등 아닐까? 싶음'
38, '부산식 돼지국밥', '038.mr.um_porksoup/mr.um_porksoup_busan.jpg', 13000, '전날 술을 먹지 않았어도 해장되는 느낌, 토렴식이라 매우 뜨끈하다.'
39, '꽁치찌개', '039.jongno_bunsik/jongno_bunsik_F.jpg', 6000, '이 가격에 꽁치찌개를? 가성비가 좋음'
39, '비빔밥', '039.jongno_bunsik/jongno_bunsik_bibim_F.jpg', 6000, '이 가격에 이런 비빔밥 못먹어요 반찬도 4개줍니다.'
40, '곱창육개장', '040.jongnogob6/040.jongnogob6_F.jpg', 13000, '육개장의 칼칼함과 곱창의 은은한 고소함이 은근 잘어울림, 김을 매일 아침 구워서 맛이 고소함'
41, '오징어(+불고기)', '041.cheongjin_res/cheongjin_res_F.png', 12000, '오징어랑 불고기 섞어먹는 꿀 조합 음식'
42, '뷔페', '042.2rionera/2rionera_F.png', 8000, '집밥 느낌의 뷔페 메뉴보고 마음에 들면 들어가시죠~'
43, '뷔페', '043.jikdang/jikdang_F.jpg', 8900, '간이 쎄지 않고 적절함, 매일 메뉴가 바뀌어서 질릴 확률이 적고 쾌적함. 뷔페 1티어'
44, '쌈밥', '044.sujung_res/sujung_res_F.png', 11000, '구성이 알차고 제육 1티어'
45, '돈코츠라멘', '045.aori_where/aori_where_F.png', 11500, '차슈맛있고 종각 주변 라멘집 중 추천함.'
46, '2인 구이 정식세트', '046.92and_stew/92and_stew_F.png', 10000, '바베큐제육, 고등어를 이가격에 이유가 필요한가?'
47, '돼지김치구이', '047.musaeok/musaeok_F.png', 11900, '양이 많고 돼지고기 좋은 한돈 쓰심'
48, '매콤진미 꼬마김밥', '048.sunbi_kimbab/sunbi_kimbab_F.jpg', 5200, '매운 것 좋아하는 분은 강추, 간단하게 장국이랑 즐겨요 배가 별로 안고프고 적게 드실 분은 여기로'
49, '얼큰수육국밥', '049.boseung_res/boseung_res_F.png', 12000, '깔끔함. 얼큰한 것 좋아하는 분 추천.'
50, '큐브스테이크 덮밥', '050.ONDO/ONDO_F2.png', 13800, '고기가 맛있어요 감태랑 먹으면 개꿀맛, 반찬이나 먹기 좋게 이쁘게 잘나옵니다.'
50, '우리소 육회 덮밥', '050.ONDO/ONDO_F1.png', 12900, '육회 덮밥은 아마 먹을 만한 곳이 여기밖에 없을 겁니다. 반찬 정갈하게 잘나와요'
51, '우육면(면 3번 굵기)', '051.shaobaou6/shaobaou6_F.png', 11000, '면 굵기 조절가능, 국물이 존맛.'
52, '초밥(실속10p세트)', '052.godthensushi/godthen_F.png', 13900, '맛있고 재료가 신선하고 회전률이 빠르다'
53, '수제로제함박스테이크', '053.wujung_hambak/wujung_hambak_F.png', 13900, '샐러드 많이 주고 맛있음, 함박은 촉촉하고 부드러움'
